(-0.000754, 0.000080, -0.000087, 1.000000
),(0.026490, 0.000759, 0.011787, 0.999931
),(0.057599, 0.002008, 0.022013, 0.999758
),(0.096179, 0.004306, 0.036133, 0.999347
),(0.142034, 0.008565, 0.053441, 0.998571
),(0.181377, 0.013310, 0.066584, 0.997781
),(0.222261, 0.019416, 0.080354, 0.996766
),(0.306065, 0.035700, 0.111024, 0.993818
),(0.344740, 0.045050, 0.125365, 0.992111
),(0.386895, 0.056599, 0.141091, 0.989997
),(0.421291, 0.067103, 0.154018, 0.988068
),(0.459086, 0.079795, 0.168304, 0.985735
),(0.533525, 0.108446, 0.196816, 0.980441
),(0.571009, 0.124795, 0.211369, 0.977406
),(0.608011, 0.142260, 0.225883, 0.974154
),(0.647944, 0.162655, 0.241733, 0.970343
),(0.682127, 0.181445, 0.255472, 0.966817
),(0.753868, 0.225181, 0.284867, 0.958567
),(0.785526, 0.246459, 0.298133, 0.954524
),(0.818952, 0.270351, 0.312365, 0.949962
),(0.854755, 0.297673, 0.327869, 0.944723
),(0.885158, 0.322383, 0.341297, 0.939956
),(0.949519, 0.379755, 0.370594, 0.928795
),(0.977569, 0.407154, 0.383800, 0.923416
),(1.006848, 0.437497, 0.397912, 0.917423
),(1.036958, 0.470419, 0.413545, 0.910483
),(1.053823, 0.490413, 0.423488, 0.905902
),(1.063989, 0.502885, 0.425905, 0.904768
),(1.068602, 0.508557, 0.426245, 0.904608
),(1.079990, 0.521517, 0.424665, 0.905351
),(1.101001, 0.546504, 0.422726, 0.906258
),(1.127834, 0.578464, 0.422445, 0.906388
),(1.181247, 0.642088, 0.422566, 0.906332
),(1.210188, 0.676582, 0.422658, 0.906289
),(1.248762, 0.722564, 0.422691, 0.906274
),(1.274472, 0.753215, 0.422740, 0.906251
),(1.301466, 0.785401, 0.422713, 0.906264
),(1.330385, 0.819880, 0.422697, 0.906271
),(1.355448, 0.849757, 0.422675, 0.906281
),(1.411363, 0.916411, 0.422662, 0.906287
),(1.437072, 0.947056, 0.422660, 0.906288
),(1.464708, 0.979997, 0.422661, 0.906288
),(1.493631, 1.014473, 0.422660, 0.906288
),(1.519177, 1.044907, 0.422756, 0.906244
),(1.537004, 1.066248, 0.424742, 0.905314
),(1.549623, 1.081577, 0.424953, 0.905216
),(1.551590, 1.083448, 0.425203, 0.905098
),(1.566987, 1.101593, 0.422225, 0.906491
),(1.594296, 1.133857, 0.421338, 0.906904
),(1.620088, 1.164420, 0.421285, 0.906928
),(1.678151, 1.233230, 0.421447, 0.906853
),(1.704601, 1.264579, 0.421418, 0.906867
),(1.731685, 1.296690, 0.421461, 0.906846
),(1.760703, 1.331094, 0.421465, 0.906845
),(1.786495, 1.361672, 0.421455, 0.906850
),(1.812929, 1.393011, 0.421442, 0.906855
),(1.869669, 1.460277, 0.421449, 0.906852
),(1.894814, 1.490089, 0.421444, 0.906854
),(1.921895, 1.522193, 0.421443, 0.906855
),(1.950909, 1.556589, 0.421444, 0.906854
),(1.976700, 1.587165, 0.421444, 0.906854
),(2.029571, 1.649843, 0.421445, 0.906854
),(2.058586, 1.684240, 0.421445, 0.906854
),(2.085666, 1.716345, 0.421447, 0.906853
),(2.115325, 1.751506, 0.421444, 0.906854
),(2.139181, 1.779787, 0.421440, 0.906856
),(2.184961, 1.834058, 0.421439, 0.906857
),(2.215806, 1.870766, 0.422556, 0.906337
),(2.227941, 1.885306, 0.423440, 0.905924
),(2.240139, 1.899745, 0.423362, 0.905961
),(2.261180, 1.924742, 0.421903, 0.906641
),(2.287442, 1.955940, 0.421836, 0.906672
),(2.342870, 2.021768, 0.421927, 0.906630
),(2.368641, 2.052378, 0.421826, 0.906677
),(2.395053, 2.083748, 0.421874, 0.906654
),(2.424684, 2.118944, 0.421883, 0.906650
),(2.449162, 2.148020, 0.421885, 0.906650
),(2.505840, 2.215342, 0.421858, 0.906662
),(2.533536, 2.248234, 0.421855, 0.906663
),(2.561876, 2.281892, 0.421851, 0.906665
),(2.586996, 2.311727, 0.421848, 0.906667
),(2.614691, 2.344619, 0.421849, 0.906666
),(2.643030, 2.378277, 0.421847, 0.906667
),(2.695201, 2.440239, 0.421847, 0.906667
),(2.722253, 2.472367, 0.421848, 0.906667
),(2.752525, 2.508319, 0.421850, 0.906666
),(2.777692, 2.538089, 0.421918, 0.906634
),(2.804767, 2.569935, 0.416118, 0.909311
),(2.864045, 2.635047, 0.391402, 0.920220
),(2.892505, 2.663775, 0.378401, 0.925642
),(2.922486, 2.692339, 0.364679, 0.931133
),(2.953267, 2.719982, 0.350779, 0.936458
),(2.984809, 2.746650, 0.336746, 0.941596
),(3.017184, 2.772401, 0.322643, 0.946521
),(3.087457, 2.823158, 0.292715, 0.956200
),(3.122100, 2.845806, 0.278357, 0.960478
),(3.158243, 2.867936, 0.263961, 0.964533
),(3.195888, 2.889402, 0.248643, 0.968595
),(3.234199, 2.909679, 0.233415, 0.972377
),(3.274912, 2.929579, 0.217395, 0.976084
),(3.310811, 2.945785, 0.203439, 0.979088
),(3.390392, 2.977393, 0.173026, 0.984917
),(3.427634, 2.990316, 0.159528, 0.987193
),(3.467158, 3.002762, 0.145992, 0.989286
),(3.508934, 3.014566, 0.132423, 0.991193
),(3.553008, 3.025709, 0.118424, 0.992963
),(3.592603, 3.034635, 0.106184, 0.994347
),(3.678416, 3.050629, 0.080771, 0.996733
),(3.723707, 3.057283, 0.068427, 0.997656
),(3.761140, 3.061977, 0.058427, 0.998292
),(3.800634, 3.066112, 0.047798, 0.998857
),(3.842246, 3.069580, 0.036471, 0.999335
),(3.929571, 3.073789, 0.012747, 0.999919
),(3.969273, 3.074363, 0.001952, 0.999998
),(4.009959, 3.074075, -0.009045, 0.999959
),(4.050672, 3.072899, -0.020113, 0.999798
),(4.095225, 3.070551, -0.032509, 0.999471
),(4.135470, 3.067387, -0.045060, 0.998984
),(4.217614, 3.057491, -0.074823, 0.997197
),(4.257715, 3.050837, -0.089462, 0.995990
),(4.300604, 3.042354, -0.105202, 0.994451
),(4.337561, 3.033922, -0.118904, 0.992906
),(4.376265, 3.023894, -0.132103, 0.991236
),(4.436949, 3.006706, -0.142540, 0.989789
),(4.473506, 2.995853, -0.145514, 0.989356
),(4.555873, 2.970843, -0.148215, 0.988955
),(4.599862, 2.957352, -0.148639, 0.988892
),(4.639060, 2.945298, -0.148800, 0.988867
),(4.678267, 2.933227, -0.148855, 0.988859
),(4.721281, 2.919976, -0.148879, 0.988855
),(4.758569, 2.908487, -0.148930, 0.988848
),(4.841710, 2.882859, -0.148979, 0.988840
),(4.879935, 2.871073, -0.148993, 0.988838
),(4.920071, 2.858697, -0.149002, 0.988837
),(4.964029, 2.845141, -0.149007, 0.988836
),(5.001298, 2.833649, -0.149016, 0.988835
),(5.085394, 2.807716, -0.148997, 0.988838
),(5.123618, 2.795929, -0.149006, 0.988836
),(5.163754, 2.783552, -0.149010, 0.988836
),(5.207711, 2.769997, -0.149015, 0.988835
),(5.244980, 2.758504, -0.149018, 0.988835
),(5.285115, 2.746126, -0.149018, 0.988834
),(5.330027, 2.732275, -0.149016, 0.988835
),(5.413163, 2.706636, -0.149017, 0.988835
),(5.451387, 2.694848, -0.149022, 0.988834
),(5.490566, 2.682765, -0.149020, 0.988834
),(5.533567, 2.669503, -0.149017, 0.988835
),(5.571791, 2.657715, -0.149016, 0.988835
),(5.650151, 2.633548, -0.149017, 0.988835
),(5.691242, 2.620876, -0.149009, 0.988836
),(5.733203, 2.607887, -0.150790, 0.988566
),(5.769176, 2.596314, -0.159062, 0.987269
),(5.809375, 2.582423, -0.171708, 0.985148
),(5.887022, 2.551974, -0.199964, 0.979803
),(5.922807, 2.536130, -0.213671, 0.976906
),(5.960616, 2.518061, -0.228420, 0.973563
),(6.000497, 2.497431, -0.244078, 0.969756
),(6.032908, 2.479439, -0.257108, 0.966383
),(6.105362, 2.434922, -0.286665, 0.958031
),(6.138520, 2.412419, -0.300533, 0.953771
),(6.171992, 2.388236, -0.314547, 0.949242
),(6.207840, 2.360604, -0.330140, 0.943932
),(6.238308, 2.335598, -0.343528, 0.939143
),(6.268787, 2.309071, -0.357278, 0.933998
),(6.329387, 2.251344, -0.385458, 0.922725
),(6.357288, 2.222263, -0.398913, 0.916989
),(6.385021, 2.191583, -0.412599, 0.910913
),(6.414310, 2.157070, -0.427511, 0.904010
),(6.441239, 2.123149, -0.441530, 0.897247
),(6.473404, 2.079659, -0.458904, 0.888486
),(6.494179, 2.049565, -0.471135, 0.882061
),(6.538972, 1.978617, -0.493902, 0.869517
),(6.558697, 1.944452, -0.505908, 0.862587
),(6.578406, 1.908050, -0.518699, 0.854957
),(6.599979, 1.865392, -0.527222, 0.849727
),(6.616737, 1.831268, -0.529998, 0.847999
),(6.635110, 1.793472, -0.531225, 0.847231
),(6.673807, 1.713296, -0.532298, 0.846557
),(6.694171, 1.670933, -0.532605, 0.846364
),(6.711046, 1.635770, -0.532732, 0.846284
),(6.728342, 1.599701, -0.532811, 0.846234
),(6.745635, 1.563627, -0.532827, 0.846224
),(6.781940, 1.487874, -0.532855, 0.846207
),(6.801397, 1.447307, -0.532872, 0.846196
),(6.819604, 1.409682, -0.527837, 0.849345
),(6.840343, 1.369063, -0.517043, 0.855959
),(6.858649, 1.335323, -0.506247, 0.862389
),(6.878733, 1.300517, -0.494148, 0.869378
),(6.925026, 1.227934, -0.467321, 0.884087
),(6.946959, 1.196698, -0.455062, 0.890460
),(6.972141, 1.162970, -0.441396, 0.897313
),(6.999596, 1.128501, -0.426971, 0.904265
),(7.024281, 1.099343, -0.414372, 0.910108
),(7.054430, 1.065842, -0.399403, 0.916775
),(7.113007, 1.006564, -0.371437, 0.928458
),(7.141817, 0.979902, -0.358278, 0.933615
),(7.172901, 0.952753, -0.344193, 0.938899
),(7.207886, 0.924109, -0.328782, 0.944406
),(7.238235, 0.900752, -0.315558, 0.948906
),(7.309070, 0.851182, -0.285572, 0.958357
),(7.341426, 0.830662, -0.272193, 0.962243
),(7.376898, 0.809583, -0.257736, 0.966216
),(7.417340, 0.787285, -0.241530, 0.970393
),(7.449703, 0.770687, -0.228713, 0.973494
),(7.500402, 0.746783, -0.209103, 0.977894
),(7.562864, 0.720649, -0.184928, 0.982752
),(7.601495, 0.706255, -0.170149, 0.985418
),(7.645249, 0.691628, -0.154032, 0.988066
),(7.680942, 0.680910, -0.141869, 0.989885
),(7.720886, 0.670024, -0.128901, 0.991658
),(7.803024, 0.650895, -0.104633, 0.994511
),(7.843051, 0.642955, -0.094298, 0.995544
),(7.884237, 0.635430, -0.087544, 0.996161
),(7.929494, 0.627586, -0.084083, 0.996459
),(7.967938, 0.621100, -0.082790, 0.996567
),(8.008381, 0.614346, -0.082456, 0.996595
),(8.097167, 0.599598, -0.081974, 0.996634
),(8.137621, 0.592922, -0.081920, 0.996639
),(8.183009, 0.585402, -0.081973, 0.996635
),(8.220501, 0.579200, -0.081927, 0.996638
),(8.260955, 0.572514, -0.081675, 0.996659
),(8.345807, 0.558531, -0.081489, 0.996674
),(8.390203, 0.551267, -0.081146, 0.996702
),(8.433480, 0.544007, -0.085279, 0.996357
),(8.469533, 0.537438, -0.094501, 0.995525
),(8.509071, 0.529303, -0.107291, 0.994228
),(8.592505, 0.508473, -0.137095, 0.990558
),(8.628784, 0.497708, -0.150583, 0.988597
),(8.667620, 0.484936, -0.165063, 0.986283
),(8.710726, 0.469280, -0.181418, 0.983406
),(8.747748, 0.454494, -0.195615, 0.980681
),(8.784953, 0.438492, -0.205642, 0.978627
),(8.865201, 0.402178, -0.215215, 0.976567
),(8.900610, 0.385720, -0.216681, 0.976243
),(8.938675, 0.367923, -0.217673, 0.976022
),(8.980324, 0.348368, -0.218103, 0.975926
),(9.014716, 0.332189, -0.218270, 0.975888
),(9.093421, 0.295113, -0.218449, 0.975848
),(9.131411, 0.277208, -0.218470, 0.975844
),(9.169397, 0.259302, -0.218469, 0.975844
),(9.207387, 0.241394, -0.218471, 0.975843
),(9.245380, 0.223485, -0.218471, 0.975844
),(9.283373, 0.205577, -0.218460, 0.975846
),(9.362975, 0.168056, -0.218455, 0.975847
),(9.400061, 0.150575, -0.218458, 0.975846
),(9.438052, 0.132668, -0.218459, 0.975846
),(9.476043, 0.114760, -0.218471, 0.975843
),(9.514033, 0.096852, -0.218478, 0.975842
),(9.552024, 0.078943, -0.218485, 0.975840
),(9.631622, 0.041418, -0.218496, 0.975838
),(9.667802, 0.024361, -0.218499, 0.975837
),(9.705792, 0.006451, -0.218495, 0.975838
),(9.747399, -0.013165, -0.218499, 0.975837
),(9.781771, -0.029370, -0.218501, 0.975837
),(9.855278, -0.063704, -0.214595, 0.976703
),(9.889747, -0.079404, -0.209253, 0.977861
),(9.928977, -0.096508, -0.200400, 0.979714
),(9.967515, -0.112537, -0.191601, 0.981473
),(10.002606, -0.126409, -0.183577, 0.983005
),(10.081918, -0.155424, -0.165648, 0.986185
),(10.085670, -0.156723, -0.164772, 0.986332
),(10.164240, -0.181965, -0.146592, 0.989197
),(10.208171, -0.194768, -0.136484, 0.990642
),(10.241755, -0.203903, -0.128727, 0.991680
),(10.283209, -0.214395, -0.119134, 0.992878
),(10.366599, -0.232875, -0.099359, 0.995052
),(10.406451, -0.240440, -0.089270, 0.996007
),(10.448507, -0.247480, -0.078642, 0.996903
