racecar_walker, 15, 0, walker_racecourse, racecar2, 1
racecar_walker, 15, 0, racecar2, walker_racecourse, 2
racecar_walker, 15, 0, walker_racecourse, racecar2, 3
racecar_walker, 15, 0, racecar2, walker_racecourse, 4
racecar_walker, 15, 0, racecar2, walker_racecourse, 5
racecar_walker, 15, 0, racecar2, walker_racecourse, 6
racecar_walker, 15, 0, racecar2, walker_racecourse, 7
racecar_walker, 15, 0, walker_racecourse, racecar2, 8
racecar_walker, 15, 0, racecar2, walker_racecourse, 9
racecar_walker, 15, 0, racecar2, walker_racecourse, 10
racecar_walker, 15, 0, walker_racecourse, racecar2, 11
racecar_walker, 15, 0, racecar2, walker_racecourse, 12
racecar_walker, 15, 0, racecar2, walker_racecourse, 13
racecar_walker, 15, 0, walker_racecourse, racecar2, 14
racecar_walker, 15, 0, walker_racecourse, racecar2, 15
