track_barca, 15, 0, racecar2, racecar, 1
track_barca, 15, 0, racecar2, racecar, 2
track_barca, 15, 0, racecar, racecar2, 3
track_barca, 15, 0, racecar2, racecar, 4
track_barca, 15, 0, racecar2, racecar, 5
track_barca, 15, 0, racecar, racecar2, 6
track_barca, 15, 0, racecar2, racecar, 7
track_barca, 15, 0, racecar2, racecar, 8
track_barca, 15, 0, racecar2, racecar, 9
track_barca, 15, 0, racecar2, racecar, 10
track_barca, 15, 0, racecar2, barca_track, 11
track_barca, 15, 0, racecar2, racecar, 12
track_barca, 15, 0, racecar2, racecar, 13
track_barca, 15, 0, racecar, racecar2, 14
track_barca, 15, 0, racecar2, racecar, 15
track_barca, 15, 0, racecar2, racecar, 16
track_barca, 15, 0, racecar, racecar2, 17
track_barca, 15, 0, racecar2, racecar, 18
track_barca, 15, 0, racecar, racecar2, 19
track_barca, 15, 0, racecar, racecar2, 20
track_barca, 15, 0, racecar2, racecar, 21
track_barca, 15, 0, racecar, racecar2, 22
track_barca, 15, 0, racecar, racecar2, 23
track_barca, 15, 0, racecar2, racecar, 24
track_barca, 15, 0, racecar2, racecar, 25
track_barca, 15, 0, racecar, racecar2, 26
track_barca, 15, 0, racecar2, racecar, 27
track_barca, 15, 0, racecar, racecar2, 28
track_barca, 15, 0, racecar2, racecar, 29
track_barca, 15, 0, racecar2, racecar, 30
