track_porto, 15, 0, racecar2, porto_track, 1
track_porto, 15, 0, racecar2, racecar, 3
track_porto, 15, 0, racecar, racecar2, 5
track_porto, 15, 0, racecar, racecar2, 6
track_porto, 15, 0, racecar2, racecar, 8
track_porto, 15, 0, racecar, racecar2, 9
track_porto, 15, 0, racecar2, racecar, 12
track_porto, 15, 0, racecar, racecar2, 13
track_porto, 15, 0, racecar2, racecar, 14
track_porto, 15, 0, racecar, racecar2, 15
track_porto, 15, 0, racecar, racecar2, 16
track_porto, 15, 0, racecar, racecar2, 17
track_porto, 15, 0, porto_track, racecar2, 19
track_porto, 15, 0, racecar2, racecar, 21
track_porto, 15, 0, racecar, racecar2, 22
track_porto, 15, 0, racecar, racecar2, 23
track_porto, 15, 0, racecar, racecar2, 25
track_porto, 15, 0, racecar2, racecar, 26
track_porto, 15, 0, racecar, racecar2, 27
track_porto, 15, 0, racecar, racecar2, 28
track_porto, 15, 0, racecar2, racecar, 29
track_porto, 15, 0, racecar2, racecar, 30
