track_porto, 15, 0, racecar, racecar2, 3
track_porto, 15, 0, racecar2, racecar, 4
track_porto, 15, 0, racecar, racecar2, 6
track_porto, 15, 0, racecar, racecar2, 8
track_porto, 15, 0, racecar2, racecar, 10
track_porto, 15, 0, racecar2, racecar, 13
track_porto, 15, 0, porto_track, racecar2, 16
track_porto, 15, 0, racecar, racecar2, 17
track_porto, 15, 0, racecar2, racecar, 18
track_porto, 15, 0, racecar, racecar2, 19
track_porto, 15, 0, racecar2, racecar, 20
track_porto, 15, 0, porto_track, racecar2, 22
track_porto, 15, 0, racecar, racecar2, 24
track_porto, 15, 0, racecar2, porto_track, 25
track_porto, 15, 0, racecar2, racecar, 29
