15, 0, racecar2, racecar, 3
15, 0, porto_track, racecar2, 4
15, 0, porto_track, racecar2, 5
15, 0, porto_track, racecar2, 7
15, 0, racecar2, porto_track, 8
15, 0, racecar2, porto_track, 9
15, 0, racecar2, porto_track, 10
15, 0, racecar, racecar2, 11
15, 0, racecar2, porto_track, 12
15, 0, racecar2, porto_track, 13
15, 0, porto_track, racecar2, 14
15, 0, racecar2, porto_track, 15
15, 0, racecar, racecar2, 16
15, 0, porto_track, racecar2, 17
15, 0, porto_track, racecar2, 18
15, 0, porto_track, racecar2, 21
15, 0, racecar2, racecar, 22
15, 0, racecar, racecar2, 23
15, 0, porto_track, racecar2, 24
15, 0, porto_track, racecar2, 26
15, 0, racecar, racecar2, 27
15, 0, porto_track, racecar2, 28
15, 0, racecar2, porto_track, 29
15, 0, racecar2, porto_track, 30
