15, 0, racecar2, porto_track, 1
15, 0, racecar2, porto_track, 1
15, 0, racecar2, porto_track, 1
15, 0, porto_track, racecar2, 4
15, 0, porto_track, racecar2, 5
15, 0, racecar2, porto_track, 6
15, 0, racecar2, porto_track, 7
15, 0, racecar2, porto_track, 8
15, 0, racecar2, racecar, 9
15, 0, porto_track, racecar2, 10
15, 0, racecar2, porto_track, 12
15, 0, racecar2, porto_track, 13
15, 0, porto_track, racecar2, 14
15, 0, racecar2, porto_track, 15
15, 0, racecar2, racecar, 16
15, 0, porto_track, racecar2, 17
15, 0, racecar2, porto_track, 18
15, 0, racecar2, porto_track, 19
15, 0, porto_track, racecar2, 20
15, 0, porto_track, racecar2, 21
15, 0, racecar2, porto_track, 22
15, 0, porto_track, racecar2, 24
15, 0, racecar2, porto_track, 25
15, 0, racecar2, porto_track, 26
15, 0, racecar2, porto_track, 28
15, 0, porto_track, racecar2, 29
15, 0, racecar2, porto_track, 30
