15, 4, floating_box3, racecar2, 1
15, 4, floating_box3, racecar2, 2
15, 4, floating_box3, racecar2, 3
15, 4, racecar2, floating_box3, 4
15, 4, porto_track, racecar2, 5
15, 4, racecar2, floating_box3, 6
15, 4, racecar2, floating_box3, 7
15, 4, racecar2, floating_box3, 8
15, 4, racecar2, floating_box3, 9
15, 4, racecar2, floating_box3, 10
15, 4, floating_box3, racecar2, 11
15, 4, floating_box3, racecar2, 12
15, 4, racecar2, floating_box3, 13
15, 4, floating_box3, racecar2, 14
15, 4, racecar2, floating_box3, 15
15, 4, floating_box3, racecar2, 16
15, 4, porto_track, racecar2, 17
15, 4, racecar2, floating_box3, 18
15, 4, porto_track, racecar2, 19
15, 4, floating_box3, racecar2, 20
15, 4, racecar2, porto_track, 21
15, 4, racecar2, floating_box3, 22
15, 4, racecar2, porto_track, 23
15, 4, racecar2, porto_track, 24
15, 4, floating_box3, racecar2, 25
15, 4, racecar2, racecar, 26
15, 4, floating_box3, racecar2, 27
15, 4, racecar2, floating_box3, 28
15, 4, racecar2, floating_box3, 29
15, 4, racecar2, floating_box3, 30
