track_porto, 15, 4, racecar2, floating_box, 1
track_porto, 15, 4, racecar2, racecar, 2
track_porto, 15, 4, floating_box, racecar2, 3
track_porto, 15, 4, racecar2, floating_box, 4
track_porto, 15, 4, racecar2, floating_box2, 5
track_porto, 15, 4, racecar2, floating_box4, 6
track_porto, 15, 4, racecar2, floating_box, 7
track_porto, 15, 4, floating_box, racecar2, 9
track_porto, 15, 4, racecar2, porto_track, 10
track_porto, 15, 4, racecar2, porto_track, 11
track_porto, 15, 4, racecar2, racecar, 12
track_porto, 15, 4, racecar2, floating_box, 14
track_porto, 15, 4, floating_box, racecar2, 16
track_porto, 15, 4, racecar2, floating_box, 18
track_porto, 15, 4, racecar2, floating_box, 19
track_porto, 15, 4, porto_track, racecar2, 20
track_porto, 15, 4, floating_box4, racecar2, 21
track_porto, 15, 4, floating_box, racecar2, 22
track_porto, 15, 4, floating_box4, racecar2, 23
track_porto, 15, 4, floating_box, racecar2, 24
track_porto, 15, 4, racecar2, floating_box, 25
track_porto, 15, 4, racecar2, floating_box2, 26
track_porto, 15, 4, racecar2, floating_box3, 27
track_porto, 15, 4, racecar2, floating_box4, 28
track_porto, 15, 4, racecar2, floating_box, 29
