track_porto, 15, 4, floating_box4, racecar2, 1
track_porto, 15, 4, racecar2, floating_box4, 2
track_porto, 15, 4, floating_box4, racecar2, 3
track_porto, 15, 4, racecar2, floating_box4, 4
track_porto, 15, 4, racecar2, racecar, 5
track_porto, 15, 4, floating_box4, racecar2, 6
track_porto, 15, 4, porto_track, racecar2, 7
track_porto, 15, 4, racecar2, porto_track, 8
track_porto, 15, 4, racecar2, floating_box3, 9
track_porto, 15, 4, porto_track, racecar2, 10
track_porto, 15, 4, porto_track, racecar2, 11
track_porto, 15, 4, racecar2, floating_box4, 12
track_porto, 15, 4, racecar2, floating_box4, 13
track_porto, 15, 4, racecar2, porto_track, 14
track_porto, 15, 4, floating_box4, racecar2, 15
track_porto, 15, 4, racecar2, porto_track, 16
track_porto, 15, 4, floating_box3, racecar2, 17
track_porto, 15, 4, racecar2, porto_track, 18
track_porto, 15, 4, floating_box, racecar2, 19
track_porto, 15, 4, racecar2, floating_box3, 20
track_porto, 15, 4, porto_track, racecar2, 21
track_porto, 15, 4, racecar2, porto_track, 22
track_porto, 15, 4, floating_box3, racecar2, 23
track_porto, 15, 4, racecar2, floating_box4, 24
track_porto, 15, 4, racecar2, floating_box4, 25
track_porto, 15, 4, floating_box3, racecar2, 26
track_porto, 15, 4, racecar2, porto_track, 27
track_porto, 15, 4, floating_box3, racecar2, 28
track_porto, 15, 4, floating_box3, racecar2, 29
track_porto, 15, 4, racecar2, floating_box4, 30
