track_porto, 15, 10, porto_track, racecar2, 1
track_porto, 15, 10, porto_track, racecar2, 2
track_porto, 15, 10, racecar2, Cone29, 3
track_porto, 15, 10, Cone29, racecar2, 4
track_porto, 15, 10, racecar2, porto_track, 5
track_porto, 15, 10, Cone29, racecar2, 6
track_porto, 15, 10, racecar2, porto_track, 7
track_porto, 15, 10, porto_track, racecar2, 8
track_porto, 15, 10, Cone32, racecar2, 9
track_porto, 15, 10, porto_track, racecar2, 10
track_porto, 15, 10, racecar2, porto_track, 11
track_porto, 15, 10, Cone29, racecar2, 12
track_porto, 15, 10, Cone30, racecar2, 13
track_porto, 15, 10, Cone29, racecar2, 14
track_porto, 15, 10, Cone29, racecar2, 15
track_porto, 15, 10, racecar2, Cone29, 16
track_porto, 15, 10, porto_track, racecar2, 17
track_porto, 15, 10, Cone14, racecar2, 18
track_porto, 15, 10, racecar2, porto_track, 19
track_porto, 15, 10, porto_track, racecar2, 20
track_porto, 15, 10, racecar2, porto_track, 21
track_porto, 15, 10, racecar2, Cone29, 22
track_porto, 15, 10, porto_track, racecar2, 23
track_porto, 15, 10, racecar2, porto_track, 24
track_porto, 15, 10, racecar2, Cone32, 25
track_porto, 15, 10, racecar2, Cone32, 26
track_porto, 15, 10, porto_track, racecar2, 27
track_porto, 15, 10, Cone31, racecar2, 28
track_porto, 15, 10, racecar2, porto_track, 29
track_porto, 15, 10, racecar2, porto_track, 30
