track_porto, 15, 10, Cone29, racecar2, 1
track_porto, 15, 10, racecar2, porto_track, 2
track_porto, 15, 10, racecar2, porto_track, 3
track_porto, 15, 10, racecar2, porto_track, 4
track_porto, 15, 10, porto_track, racecar2, 5
track_porto, 15, 10, racecar2, porto_track, 6
track_porto, 15, 10, racecar2, porto_track, 7
track_porto, 15, 10, racecar2, porto_track, 8
track_porto, 15, 10, racecar2, porto_track, 9
track_porto, 15, 10, Cone8, racecar2, 10
track_porto, 15, 10, porto_track, racecar2, 11
track_porto, 15, 10, racecar2, porto_track, 12
track_porto, 15, 10, racecar2, porto_track, 13
track_porto, 15, 10, racecar2, Cone5, 14
track_porto, 15, 10, racecar2, Cone14, 15
track_porto, 15, 10, porto_track, racecar2, 16
track_porto, 15, 10, porto_track, racecar2, 17
track_porto, 15, 10, porto_track, racecar2, 18
track_porto, 15, 10, racecar2, porto_track, 19
track_porto, 15, 10, racecar2, porto_track, 20
track_porto, 15, 10, racecar2, porto_track, 21
track_porto, 15, 10, racecar2, porto_track, 22
track_porto, 15, 10, porto_track, racecar2, 23
track_porto, 15, 10, racecar2, porto_track, 24
track_porto, 15, 10, porto_track, racecar2, 25
track_porto, 15, 10, racecar2, porto_track, 26
track_porto, 15, 10, racecar2, porto_track, 27
track_porto, 15, 10, racecar2, porto_track, 28
track_porto, 15, 10, porto_track, racecar2, 29
track_porto, 15, 10, porto_track, racecar2, 30
