track_porto, 15, 10, racecar2, porto_track, 1
track_porto, 15, 10, racecar2, Cone33, 2
track_porto, 15, 10, Cone2, racecar2, 3
track_porto, 15, 10, racecar2, racecar, 3
track_porto, 15, 10, porto_track, racecar2, 4
track_porto, 15, 10, racecar2, porto_track, 5
track_porto, 15, 10, porto_track, racecar2, 6
track_porto, 15, 10, racecar2, porto_track, 7
track_porto, 15, 10, racecar2, Cone33, 8
track_porto, 15, 10, porto_track, racecar2, 9
track_porto, 15, 10, racecar2, porto_track, 10
track_porto, 15, 10, racecar2, porto_track, 11
track_porto, 15, 10, racecar2, porto_track, 13
track_porto, 15, 10, porto_track, racecar2, 14
track_porto, 15, 10, racecar2, porto_track, 16
track_porto, 15, 10, Cone12, racecar2, 17
track_porto, 15, 10, porto_track, racecar2, 18
track_porto, 15, 10, racecar2, porto_track, 19
track_porto, 15, 10, racecar2, Cone29, 20
track_porto, 15, 10, racecar2, porto_track, 21
track_porto, 15, 10, racecar2, Cone29, 23
track_porto, 15, 10, racecar2, porto_track, 24
track_porto, 15, 10, porto_track, racecar2, 25
track_porto, 15, 10, racecar2, Cone29, 26
track_porto, 15, 10, racecar2, porto_track, 27
track_porto, 15, 10, racecar2, porto_track, 28
track_porto, 15, 10, porto_track, racecar2, 29
track_porto, 15, 10, racecar2, Cone30, 30
