track_porto, 15, 10, porto_track, racecar2, 1
track_porto, 15, 10, Cone5, racecar2, 2
track_porto, 15, 10, racecar, racecar2, 3
track_porto, 15, 10, racecar, racecar2, 3
track_porto, 15, 10, porto_track, racecar2, 4
track_porto, 15, 10, porto_track, racecar2, 5
track_porto, 15, 10, Cone30, racecar2, 6
track_porto, 15, 10, racecar2, Cone29, 7
track_porto, 15, 10, porto_track, racecar2, 8
track_porto, 15, 10, Cone30, racecar2, 9
track_porto, 15, 10, racecar2, racecar, 10
track_porto, 15, 10, racecar2, porto_track, 11
track_porto, 15, 10, Cone30, racecar2, 12
track_porto, 15, 10, racecar2, porto_track, 13
track_porto, 15, 10, racecar2, porto_track, 14
track_porto, 15, 10, Cone7, racecar2, 15
track_porto, 15, 10, Cone30, racecar2, 17
track_porto, 15, 10, racecar2, porto_track, 18
track_porto, 15, 10, racecar2, Cone5, 19
track_porto, 15, 10, racecar2, porto_track, 20
track_porto, 15, 10, racecar2, Cone32, 21
track_porto, 15, 10, Cone33, racecar2, 22
track_porto, 15, 10, porto_track, racecar2, 22
track_porto, 15, 10, racecar2, Cone3, 22
track_porto, 15, 10, Cone30, racecar2, 23
track_porto, 15, 10, porto_track, racecar2, 24
track_porto, 15, 10, porto_track, racecar2, 25
track_porto, 15, 10, Cone30, racecar2, 27
track_porto, 15, 10, Cone30, racecar2, 28
track_porto, 15, 10, racecar2, Cone30, 29
track_porto, 15, 10, porto_track, racecar2, 30
