racecar_walker, 15, 0, walker_racecourse, racecar2, 1
racecar_walker, 15, 0, racecar2, walker_racecourse, 2
racecar_walker, 15, 0, racecar2, walker_racecourse, 3
racecar_walker, 15, 0, racecar2, walker_racecourse, 4
racecar_walker, 15, 0, walker_racecourse, racecar2, 5
racecar_walker, 15, 0, racecar3, racecar2, 7
racecar_walker, 15, 0, racecar2, walker_racecourse, 8
racecar_walker, 15, 0, walker_racecourse, racecar2, 9
racecar_walker, 15, 0, racecar2, racecar3, 10
racecar_walker, 15, 0, walker_racecourse, racecar2, 11
racecar_walker, 15, 0, racecar2, walker_racecourse, 12
racecar_walker, 15, 0, racecar2, walker_racecourse, 13
racecar_walker, 15, 0, racecar2, walker_racecourse, 15
racecar_walker, 15, 0, walker_racecourse, racecar2, 16
racecar_walker, 15, 0, racecar2, walker_racecourse, 17
racecar_walker, 15, 0, walker_racecourse, racecar2, 18
racecar_walker, 15, 0, racecar2, walker_racecourse, 19
racecar_walker, 15, 0, walker_racecourse, racecar2, 20
racecar_walker, 15, 0, racecar2, walker_racecourse, 21
racecar_walker, 15, 0, walker_racecourse, racecar2, 22
racecar_walker, 15, 0, walker_racecourse, racecar2, 23
racecar_walker, 15, 0, racecar3, racecar2, 25
racecar_walker, 15, 0, racecar3, racecar2, 26
racecar_walker, 15, 0, racecar2, walker_racecourse, 27
racecar_walker, 15, 0, racecar2, walker_racecourse, 29
racecar_walker, 15, 0, racecar2, walker_racecourse, 30
