track_barca, 15, 0, racecar, racecar2, 1
track_barca, 15, 0, racecar2, racecar, 2
track_barca, 15, 0, racecar2, racecar, 3
track_barca, 15, 0, racecar, racecar2, 4
track_barca, 15, 0, racecar2, racecar, 5
track_barca, 15, 0, racecar2, racecar, 6
track_barca, 15, 0, racecar, racecar2, 7
track_barca, 15, 0, racecar, racecar2, 8
track_barca, 15, 0, racecar2, barca_track, 9
track_barca, 15, 0, racecar2, racecar, 10
track_barca, 15, 0, racecar2, racecar, 11
track_barca, 15, 0, racecar, racecar2, 12
track_barca, 15, 0, barca_track, racecar2, 12
track_barca, 15, 0, racecar, racecar2, 13
track_barca, 15, 0, racecar, racecar2, 14
track_barca, 15, 0, racecar2, racecar3, 15
track_barca, 15, 0, barca_track, racecar2, 16
track_barca, 15, 0, racecar, racecar2, 17
track_barca, 15, 0, racecar, racecar2, 18
track_barca, 15, 0, racecar2, racecar, 19
track_barca, 15, 0, racecar, racecar2, 20
track_barca, 15, 0, racecar2, racecar, 21
track_barca, 15, 0, racecar2, racecar, 22
track_barca, 15, 0, racecar, racecar2, 23
track_barca, 15, 0, racecar, racecar2, 24
track_barca, 15, 0, racecar, racecar2, 25
track_barca, 15, 0, racecar2, racecar, 26
track_barca, 15, 0, racecar, racecar2, 27
track_barca, 15, 0, racecar2, racecar, 28
track_barca, 15, 0, racecar2, racecar, 29
track_barca, 15, 0, racecar2, barca_track, 30
