track_barca, 15, 0, barca_track, racecar2, 1
track_barca, 15, 0, barca_track, racecar2, 2
track_barca, 15, 0, racecar2, racecar, 3
track_barca, 15, 0, racecar3, racecar2, 4
track_barca, 15, 0, racecar2, racecar3, 5
track_barca, 15, 0, racecar2, barca_track, 6
track_barca, 15, 0, racecar2, barca_track, 7
track_barca, 15, 0, racecar2, racecar3, 8
track_barca, 15, 0, barca_track, racecar2, 9
track_barca, 15, 0, racecar2, racecar, 10
track_barca, 15, 0, racecar2, barca_track, 10
track_barca, 15, 0, racecar2, barca_track, 11
track_barca, 15, 0, racecar3, racecar2, 12
track_barca, 15, 0, racecar3, racecar2, 13
track_barca, 15, 0, racecar3, racecar2, 14
track_barca, 15, 0, barca_track, racecar2, 15
track_barca, 15, 0, racecar2, barca_track, 16
track_barca, 15, 0, racecar3, racecar2, 17
track_barca, 15, 0, racecar, racecar2, 18
track_barca, 15, 0, racecar2, barca_track, 19
track_barca, 15, 0, racecar3, racecar2, 20
track_barca, 15, 0, racecar2, barca_track, 21
track_barca, 15, 0, racecar2, racecar3, 22
track_barca, 15, 0, racecar2, racecar3, 23
track_barca, 15, 0, barca_track, racecar2, 24
track_barca, 15, 0, barca_track, racecar2, 25
track_barca, 15, 0, racecar3, racecar2, 25
track_barca, 15, 0, racecar3, racecar2, 26
track_barca, 15, 0, racecar2, barca_track, 27
track_barca, 15, 0, racecar2, barca_track, 28
track_barca, 15, 0, racecar2, racecar3, 29
track_barca, 15, 0, barca_track, racecar2, 30
