track_porto, 15, 0, racecar2, racecar, 1
track_porto, 15, 0, racecar2, racecar, 2
track_porto, 15, 0, racecar, racecar2, 3
track_porto, 15, 0, racecar, racecar2, 4
track_porto, 15, 0, racecar2, racecar3, 6
track_porto, 15, 0, racecar2, racecar3, 7
track_porto, 15, 0, racecar2, racecar, 8
track_porto, 15, 0, racecar, racecar2, 9
track_porto, 15, 0, racecar, racecar2, 10
track_porto, 15, 0, racecar, racecar2, 11
track_porto, 15, 0, racecar, racecar2, 14
track_porto, 15, 0, racecar2, racecar, 15
track_porto, 15, 0, racecar, racecar2, 17
track_porto, 15, 0, porto_track, racecar2, 18
track_porto, 15, 0, racecar3, racecar2, 19
track_porto, 15, 0, racecar2, racecar3, 20
track_porto, 15, 0, racecar2, racecar, 22
track_porto, 15, 0, racecar, racecar2, 23
track_porto, 15, 0, racecar3, racecar2, 25
track_porto, 15, 0, racecar3, racecar2, 26
track_porto, 15, 0, racecar3, racecar2, 28
track_porto, 15, 0, racecar3, racecar2, 30
