track_porto, 15, 0, racecar2, racecar, 1
track_porto, 15, 0, racecar2, porto_track, 2
track_porto, 15, 0, racecar3, racecar2, 4
track_porto, 15, 0, racecar3, racecar2, 5
track_porto, 15, 0, racecar2, racecar, 6
track_porto, 15, 0, racecar3, racecar2, 7
track_porto, 15, 0, racecar2, racecar3, 9
track_porto, 15, 0, racecar2, racecar, 10
track_porto, 15, 0, racecar, racecar2, 12
track_porto, 15, 0, racecar2, racecar3, 13
track_porto, 15, 0, racecar2, porto_track, 14
track_porto, 15, 0, racecar2, racecar3, 16
track_porto, 15, 0, racecar, racecar2, 17
track_porto, 15, 0, racecar3, racecar2, 18
track_porto, 15, 0, racecar2, racecar3, 20
track_porto, 15, 0, racecar3, racecar2, 21
track_porto, 15, 0, racecar3, racecar2, 22
track_porto, 15, 0, racecar3, racecar2, 24
track_porto, 15, 0, racecar3, racecar2, 25
track_porto, 15, 0, racecar2, racecar3, 26
track_porto, 15, 0, racecar2, racecar3, 27
