track_porto, 15, 0, racecar, racecar2, 1
track_porto, 15, 0, racecar, racecar2, 3
track_porto, 15, 0, racecar2, racecar, 4
track_porto, 15, 0, racecar2, racecar, 5
track_porto, 15, 0, racecar2, racecar, 7
track_porto, 15, 0, racecar, racecar2, 11
track_porto, 15, 0, racecar2, racecar, 13
track_porto, 15, 0, racecar, racecar2, 15
track_porto, 15, 0, racecar2, racecar, 16
track_porto, 15, 0, racecar, racecar2, 18
track_porto, 15, 0, racecar, racecar2, 21
track_porto, 15, 0, racecar, racecar2, 22
track_porto, 15, 0, racecar2, porto_track, 23
track_porto, 15, 0, racecar2, racecar, 24
track_porto, 15, 0, racecar, racecar2, 26
track_porto, 15, 0, racecar2, racecar, 29
track_porto, 15, 0, racecar, racecar2, 30
