random_seed, num_obstacles, collision_object_1, collision_object2, experiment_number
15, 0, racecar, porto_track, 1
15, 0, racecar, porto_track, 2
15, 0, racecar, porto_track, 3
15, 0, racecar, porto_track, 4
15, 0, racecar, porto_track, 5
15, 0, racecar, porto_track, 6
15, 0, racecar, porto_track, 7
15, 0, racecar, porto_track, 8
15, 0, racecar, porto_track, 9
15, 0, racecar, porto_track, 10
15, 0, racecar, porto_track, 11
15, 0, racecar, porto_track, 12
15, 0, racecar, porto_track, 13
15, 0, racecar, porto_track, 14
15, 0, racecar, porto_track, 15
15, 0, racecar, porto_track, 16
15, 0, racecar, porto_track, 17
15, 0, racecar, porto_track, 18
15, 0, racecar, porto_track, 19
15, 0, racecar, porto_track, 20
15, 0, racecar, porto_track, 21
15, 0, racecar, porto_track, 22
15, 0, racecar, porto_track, 23
15, 0, racecar, porto_track, 24
15, 0, racecar, porto_track, 25
15, 0, racecar, porto_track, 26
15, 0, racecar, porto_track, 27
15, 0, racecar, porto_track, 28
15, 0, racecar, porto_track, 29
15, 0, racecar, porto_track, 30
15, 0, racecar, porto_track, 31
15, 0, racecar, porto_track, 32
15, 0, racecar, porto_track, 33
15, 0, racecar, porto_track, 34
15, 0, racecar, porto_track, 35
15, 0, racecar, porto_track, 36
15, 0, racecar, porto_track, 37
15, 0, racecar, porto_track, 38
15, 0, racecar, porto_track, 39
15, 0, racecar, porto_track, 40
15, 0, racecar, porto_track, 41
15, 0, racecar, porto_track, 42
15, 0, racecar, porto_track, 43
15, 0, racecar, porto_track, 44
