random_seed, num_obstacles, collision_object_1, collision_object2, experiment_number
1516, 5, racecar, Cone181, 1
1516, 5, racecar, Cone181, 2
1516, 5, racecar, Cone181, 3
1516, 5, racecar, Cone181, 4
1516, 5, racecar, Cone181, 5
1516, 5, racecar, Cone181, 6
1516, 5, racecar, Cone181, 7
1516, 5, racecar, Cone181, 8
1516, 5, racecar, Cone181, 9
1516, 5, racecar, Cone181, 10
1516, 5, racecar, Cone181, 11
1516, 5, racecar, Cone181, 12
1516, 5, racecar, Cone181, 13
1516, 5, racecar, Cone181, 14
1516, 5, racecar, Cone181, 15
1516, 5, racecar, Cone181, 16
1516, 5, racecar, Cone181, 17
1516, 5, racecar, Cone181, 18
1516, 5, racecar, Cone181, 19
1516, 5, racecar, Cone181, 20
1516, 5, racecar, Cone181, 21
1516, 5, racecar, Cone181, 22
1516, 5, racecar, Cone181, 23
1516, 5, racecar, Cone181, 24
1516, 5, racecar, Cone181, 25
1516, 5, racecar, Cone181, 26
1516, 5, racecar, Cone181, 27
1516, 5, racecar, Cone181, 28
1516, 5, racecar, Cone181, 29
1516, 5, racecar, Cone181, 30
