laps_completed, time_elapsed, experiment_number
1.779002320186, 62.295, 1
1.776102088167, 62.368, 2
1.774361948956, 62.417, 3
1.791183294664, 62.788, 4
1.781902552204, 62.397, 5
1.7813225058, 62.351, 6
1.77494199536, 62.386, 7
1.774361948956, 62.342, 8
1.777842227378, 62.354, 9
1.780742459397, 62.354, 10
1.783062645012, 62.82, 11
1.773781902552, 62.359, 12
1.776102088167, 62.34, 13
1.772621809745, 62.244, 14
1.772621809745, 62.3, 15
1.776102088167, 62.381, 16
1.774361948956, 62.37, 17
1.773201856148, 62.338, 18
1.771461716937, 62.325, 19
1.770881670534, 62.294, 20
1.775522041763, 62.306, 21
1.771461716937, 62.294, 22
1.774361948956, 62.276, 23
1.773201856148, 62.313, 24
1.77030162413, 62.361, 25
1.777262180974, 62.325, 26
1.77030162413, 62.379, 27
1.771461716937, 62.285, 28
1.773781902552, 62.357, 29
1.7813225058, 62.367, 30
1.779002320186, 62.309, 31
1.773201856148, 62.311, 32
1.778422273782, 62.318, 33
1.777262180974, 62.415, 34
1.773781902552, 62.342, 35
1.776102088167, 62.307, 36
1.77030162413, 62.295, 37
1.772041763341, 62.382, 38
1.774361948956, 62.326, 39
1.779002320186, 62.287, 40
1.773781902552, 62.362, 41
