laps_completed, time_elapsed, experiment_number
0.141681109185, 33.375, 1
0.141897746967, 33.379, 2
0.141897746967, 33.49, 3
0.141897746967, 33.345, 4
0.141681109185, 33.444, 5
0.141681109185, 33.451, 6
0.141897746967, 33.393, 7
0.141897746967, 33.439, 8
0.142114384749, 33.462, 9
0.141897746967, 33.421, 10
0.142114384749, 33.433, 11
0.141897746967, 33.491, 12
0.141897746967, 33.455, 13
0.141681109185, 33.42, 14
0.141897746967, 33.407, 15
0.141897746967, 33.46, 16
0.141681109185, 33.436, 17
0.141897746967, 33.458, 18
0.141681109185, 33.367, 19
0.141897746967, 33.398, 20
0.141897746967, 33.475, 21
0.141897746967, 33.422, 22
0.141897746967, 33.397, 23
0.141897746967, 33.458, 24
0.141681109185, 33.396, 25
0.141681109185, 33.449, 26
0.141897746967, 33.464, 27
0.141897746967, 33.437, 28
0.141681109185, 33.842, 29
0.141897746967, 33.397, 30
