laps_completed, time_elapsed, experiment_number
1.28094153379, 62.366, 1
1.28170083523, 62.353, 2
1.28246013667, 62.449, 3
1.28094153379, 62.339, 4
1.2794229309, 62.302, 5
1.2741078208, 62.333, 6
1.27866362946, 62.33, 7
1.28018223235, 62.391, 8
1.2794229309, 62.306, 9
1.27866362946, 62.288, 10
1.28397873956, 62.379, 11
1.28018223235, 62.363, 12
1.2794229309, 62.376, 13
1.27866362946, 62.332, 14
1.28094153379, 62.399, 15
1.2794229309, 62.272, 16
1.28018223235, 62.385, 17
1.28321943812, 62.305, 18
1.26955201215, 62.312, 19
1.2794229309, 62.336, 20
1.27790432802, 62.276, 21
1.29233105543, 62.774, 22
1.28170083523, 62.334, 23
1.28094153379, 62.335, 24
1.284738041, 62.341, 25
1.27866362946, 62.265, 26
1.27182991648, 62.317, 27
1.28170083523, 62.335, 28
1.28018223235, 62.329, 29
1.28018223235, 62.271, 30
