laps_completed, time_elapsed, experiment_number
1.682134570766, 62.381, 1
1.682134570766, 62.346, 2
1.679234338747, 62.372, 3
1.676914153132, 62.291, 4
1.683874709977, 62.376, 5
1.687354988399, 62.396, 6
1.688515081206, 62.288, 7
1.690255220418, 62.296, 8
1.691995359629, 62.249, 9
1.681554524362, 62.376, 10
1.677494199536, 62.323, 11
1.678654292343, 62.336, 12
1.688515081206, 62.418, 13
1.680974477958, 62.308, 14
1.690835266821, 62.396, 15
1.687354988399, 62.301, 16
1.680974477958, 62.363, 17
1.681554524362, 62.327, 18
1.690835266821, 62.327, 19
1.68909512761, 62.323, 20
1.681554524362, 62.269, 21
1.680394431555, 62.235, 22
1.689675174014, 62.322, 23
1.686774941995, 62.37, 24
1.687354988399, 62.32, 25
1.683874709977, 62.294, 26
1.677494199536, 62.274, 27
1.685614849188, 62.316, 28
1.687935034803, 62.337, 29
1.680974477958, 62.272, 30

