laps_completed, time_elapsed, experiment_number
0.82192575406, 62.306, 1
0.818445475638, 62.42, 2
0.824825986079, 62.256, 3
0.820765661253, 62.364, 4
0.825986078886, 62.31, 5
0.820185614849, 62.338, 6
0.823665893271, 62.296, 7
0.82192575406, 62.351, 8
0.820765661253, 62.319, 9
0.82656612529, 62.356, 10
0.824825986079, 62.399, 11
0.824245939675, 62.322, 12
0.366009280742, 23.971, 13
0.825406032483, 62.335, 14
0.825406032483, 62.398, 15
0.819605568445, 62.4, 16
0.82656612529, 62.316, 17
0.827146171694, 62.332, 18
0.824825986079, 62.326, 19
0.823085846868, 62.345, 20
0.824245939675, 62.29, 21
0.824825986079, 62.319, 22
0.82656612529, 62.375, 23
0.824825986079, 62.344, 24
0.823085846868, 62.351, 25
0.827146171694, 62.387, 26
0.824825986079, 62.363, 27
0.830046403712, 62.777, 28
0.823665893271, 62.405, 29
0.827146171694, 62.329, 30
