laps_completed, time_elapsed, experiment_number
2.17919514047, 62.323, 1
2.17463933181, 62.316, 2
2.19058466211, 62.685, 3
2.17463933181, 62.352, 4
2.18071374336, 62.336, 5
2.18375094913, 62.327, 6
2.17843583903, 62.276, 7
2.17919514047, 62.292, 8
2.17995444191, 62.342, 9
2.18526955201, 62.361, 10
2.17691723614, 62.359, 11
2.1761579347, 62.416, 12
2.1867881549, 62.767, 13
2.17388003037, 62.365, 14
2.16932422172, 62.358, 15
2.17843583903, 62.375, 16
2.18071374336, 62.346, 18
2.18375094913, 62.36, 19
2.17388003037, 62.312, 20
2.16856492027, 62.336, 21
2.18526955201, 62.385, 22
2.1761579347, 62.338, 23
2.17008352316, 62.309, 24
2.17919514047, 62.37, 25
2.17312072893, 62.323, 26
2.17767653759, 62.405, 27
2.17160212604, 62.293, 28
2.1761579347, 62.34, 29
2.18223234624, 62.339, 30
2.1814730448, 62.37, 31
