laps_completed, time_elapsed, experiment_number
1.1245254366, 62.284, 1
1.12148823083, 62.297, 2
1.12376613516, 62.319, 3
1.12224753227, 62.457, 4
1.1245254366, 62.347, 5
1.12604403948, 62.387, 6
1.12224753227, 62.374, 7
1.1245254366, 62.317, 8
1.12528473804, 62.303, 9
1.1245254366, 62.342, 10
1.12224753227, 62.379, 11
1.12376613516, 62.357, 12
1.1245254366, 62.343, 13
1.12148823083, 62.294, 14
1.12376613516, 62.317, 15
1.12756264237, 62.464, 16
1.12224753227, 62.444, 17
1.12528473804, 62.356, 18
1.12300683371, 62.341, 19
1.12300683371, 62.294, 20
1.12376613516, 62.297, 21
1.12224753227, 62.329, 22
1.12376613516, 62.39, 23
1.1245254366, 62.401, 24
1.1245254366, 62.318, 25
1.12148823083, 62.347, 26
1.1192103265, 62.306, 27
1.12528473804, 62.294, 28
1.12300683371, 62.365, 29
1.1245254366, 62.448, 30
