laps_completed, time_elapsed, experiment_number
0.568716780562, 16.901, 1
0.555808656036, 16.729, 2
0.556567957479, 16.675, 3
0.555808656036, 16.76, 4
0.557327258922, 16.781, 5
0.554290053151, 16.589, 6
0.555049354594, 16.712, 7
0.569476082005, 17.166, 8
0.556567957479, 16.702, 9
0.558086560364, 16.636, 10
0.558086560364, 16.447, 11
0.555049354594, 16.623, 12
0.557327258922, 16.552, 13
0.556567957479, 16.435, 14
0.553530751708, 16.69, 15
0.555808656036, 16.809, 16
0.555808656036, 16.486, 17
0.558086560364, 16.898, 18
0.556567957479, 16.814, 19
0.555808656036, 16.623, 20
0.557327258922, 16.815, 21
0.555808656036, 16.535, 22
0.556567957479, 16.783, 23
0.555049354594, 16.703, 24
0.556567957479, 16.754, 25
0.555049354594, 16.836, 26
0.554290053151, 16.853, 27
0.556567957479, 16.389, 28
0.554290053151, 16.622, 29
0.553530751708, 16.353, 30
