laps_completed, time_elapsed, experiment_number
0.0970537261698, 13.149, 1
0.0985701906412, 12.416, 2
0.137781629116, 16.934, 3
0.102036395147, 12.859, 4
0.0987868284229, 12.516, 5
0.137348353553, 17.021, 6
0.102686308492, 12.942, 7
0.0972703639515, 12.272, 8
0.0990034662045, 12.541, 9
0.136265164645, 16.966, 10
0.137564991334, 17.015, 11
0.137998266898, 17.006, 12
0.105719237435, 13.295, 13
0.136265164645, 16.958, 14
0.13691507799, 16.966, 15
0.136265164645, 16.97, 16
0.0957538994801, 12.163, 17
0.0990034662045, 12.517, 18
0.102902946274, 12.956, 19
0.0966204506066, 12.212, 20
0.101819757366, 12.843, 21
0.094020797227, 11.901, 22
0.0961871750433, 12.146, 23
0.0990034662045, 12.543, 24
0.0931542461005, 11.825, 25
0.137781629116, 17.014, 26
0.0918544194107, 11.707, 27
0.0977036395147, 12.325, 28
0.0970537261698, 12.279, 29
0.092287694974, 11.735, 30
0.099870017331, 12.552, 31
0.099870017331, 12.565, 32
0.096403812825, 12.227, 33
0.137564991334, 16.949, 34
0.0990034662045, 12.486, 35
0.0979202772964, 12.37, 36
0.13691507799, 16.994, 37
0.136265164645, 17.01, 38
0.102253032929, 12.874, 39
0.100519930676, 12.662, 40
0.100303292894, 12.701, 41
0.0970537261698, 12.292, 42
0.136481802426, 16.954, 43
0.13691507799, 16.979, 44
0.0955372616984, 12.17, 45
0.0957538994801, 12.079, 46
0.0974870017331, 12.351, 47
0.096403812825, 12.205, 48
0.0992201039861, 12.524, 49
0.102253032929, 12.888, 50
0.137564991334, 17.003, 51
0.0972703639515, 12.348, 52
0.0968370883882, 12.283, 53
0.0983535528596, 12.414, 54
