total_laps_completed,total_time_taken, experiment_number
2.5125284738, 62.408, 1
2.50721336371, 62.348, 2
2.49962034928, 62.381, 3
2.50417615793, 62.333, 4
2.51176917236, 62.31, 5
2.50341685649, 62.358, 6
2.49886104784, 62.304, 7
2.50189825361, 62.369, 9
2.5178435839, 62.296, 10
2.50341685649, 62.329, 11
2.49126803341, 62.247, 12
2.50265755505, 62.292, 13
2.50721336371, 62.281, 14
2.49810174639, 62.293, 15
2.48823082764, 62.332, 16
2.49582384207, 62.35, 16
2.51556567957, 62.303, 17
2.51632498102, 62.393, 18
2.50265755505, 62.337, 19
2.50949126803, 62.291, 20
2.50949126803, 62.32, 21
2.51100987092, 62.295, 22
2.50721336371, 62.477, 23
2.50797266515, 62.421, 24
2.49202733485, 62.27, 25
2.49582384207, 62.363, 26
2.52088078967, 62.839, 27
2.50569476082, 62.319, 28
2.51708428246, 62.814, 29
2.50493545938, 62.333, 30
2.50797266515, 62.296, 31
2.51328777525, 62.322, 32
2.50493545938, 62.326, 33
2.50949126803, 62.338, 34
