laps_completed, time_elapsed, experiment_number
2.50797266515, 62.329, 1
2.49734244495, 62.307, 2
2.49734244495, 62.347, 3
2.50113895216, 62.305, 4
2.49886104784, 62.395, 5
2.52619589977, 62.397, 6
2.51632498102, 62.311, 7
2.51632498102, 62.311, 8
2.50569476082, 62.386, 9
2.52619589977, 62.782, 10
2.51328777525, 62.399, 11
2.29309035687, 58.832, 12
2.50341685649, 62.41, 13
2.51100987092, 62.404, 14
2.523158694, 62.385, 15
2.50417615793, 62.43, 16
2.50037965072, 62.318, 17
2.49430523918, 62.388, 18
2.49582384207, 62.346, 19
2.50417615793, 62.27, 20
2.49582384207, 62.301, 21
2.51632498102, 62.383, 22
2.50569476082, 62.364, 23
2.49202733485, 62.315, 24
2.48823082764, 62.342, 25
2.50265755505, 62.351, 26
2.50417615793, 62.398, 27
2.49582384207, 62.346, 28
2.50417615793, 62.347, 29
2.50265755505, 62.348, 30
