laps_completed, time_elapsed, experiment_number
1.18071374336, 21.169, 1
3.55808656036, 62.339, 1
3.56795747912, 62.393, 2
0.359908883827, 7.268, 3
3.58769931663, 62.376, 4
3.54669703872, 62.346, 5
3.55504935459, 62.371, 6
3.51936218679, 62.3, 7
3.54365983295, 62.363, 8
3.5444191344, 62.375, 9
3.53758542141, 62.291, 10
3.49430523918, 62.361, 11
3.52239939256, 62.812, 12
3.50189825361, 62.357, 13
3.52239939256, 62.319, 14
3.50037965072, 62.398, 15
0.36066818527, 7.241, 16
3.55656795748, 62.385, 17
3.58238420653, 62.343, 18
3.55808656036, 62.335, 19
3.57706909643, 62.296, 20
3.36142748671, 59.106, 21
3.53682611997, 62.305, 22
3.55884586181, 62.317, 23
0.355353075171, 7.418, 24
2.34927866363, 42.009, 25
1.34472285497, 23.874, 26
3.55201214882, 62.724, 27
3.58997722096, 62.366, 28
3.52771450266, 62.277, 29
3.52164009112, 62.251, 30
3.56492027335, 62.299, 31
0.244495064541, 5.136, 32
