training steps, time, steps in evaluation, accumulated reward, done, exit condition 
0, 9.53674316406e-07, 26.3, 4.368588186136341, 0.0, 1.0
500, 124.927278996, 11.5, 1.3820037779276177, 0.0, 1.0
1000, 231.842413187, 53.1, 9.683824149755004, 0.0, 1.0
1500, 305.061382055, 108.7, 22.056860548974395, 0.0, 1.0
2000, 375.038264036, 107.4, 21.054693346996856, 0.0, 1.0
2500, 442.789386034, 99.4, 19.129332367612825, 0.0, 1.0
3000, 508.39218998, 103.7, 19.84520606155901, 0.0, 1.0
3500, 580.685240984, 105.3, 20.020376786856872, 0.0, 1.0
4000, 650.798634052, 104.1, 19.905098071130567, 0.0, 1.0
4500, 720.996151209, 107.7, 20.330801038820837, 0.0, 1.0
5000, 788.887219191, 100.9, 18.73175807873016, 0.0, 1.0
5500, 855.683956146, 108.3, 20.667436402612186, 0.0, 1.0
6000, 924.693864107, 109.5, 21.023276627436704, 0.0, 1.0
6500, 993.740955114, 103.0, 19.720271968006678, 0.0, 1.0
7000, 1061.79541206, 211.8, 47.70219781511862, 0.0, 0.8
7500, 1129.92909908, 283.2, 64.65889566140403, 0.0, 0.6
8000, 1191.13152623, 186.2, 40.78238710999171, 0.0, 0.8
8500, 1257.1455934, 348.3, 77.95252601142714, 0.0, 0.4
9000, 1322.90555525, 388.8, 89.50909419705769, 0.0, 0.3
9500, 1390.98611617, 226.6, 50.07341934536458, 0.0, 0.7
10000, 1456.92178726, 510.0, 117.54340991499566, 0.0, 0.0
