training steps, time, steps in evaluation, accumulated reward, done, exit condition 
0, 9.53674316406e-07, 12, 0.052633559944496255, 0, 1
0, 9.53674316406e-07, 20, 0.09702575170160799, 0, 1
0, 9.53674316406e-07, 17, -0.00908249214982959, 0, 1
0, 9.53674316406e-07, 9, -0.23423749805125027, 0, 1
0, 9.53674316406e-07, 13, 0.17103445787189742, 0, 1
836, 163.78450799, 12, 0.09702575170160799, 0, 1
836, 163.78450799, 47, 1.6452098813228133, 0, 1
836, 163.78450799, 27, 1.796110291305851, 0, 1
836, 163.78450799, 20, 1.7886026621867828, 0, 1
836, 163.78450799, 19, 0.059021069555853956, 0, 1
1734, 334.545400143, 115, 12.533994466000406, 0, 1
1734, 334.545400143, 28, 0.5480392806657051, 0, 1
1734, 334.545400143, 144, 12.893256943759347, 0, 1
1734, 334.545400143, 36, 1.3465426860133505, 0, 1
1734, 334.545400143, 22, 0.7270564236997785, 0, 1
2544, 495.431738138, 15, 1.4964996567051045, 0, 1
2544, 495.431738138, 17, 1.5334041590049594, 0, 1
2544, 495.431738138, 17, 1.421537270370358, 0, 1
2544, 495.431738138, 17, 1.5723597895864287, 0, 1
2544, 495.431738138, 16, 1.6452098813228133, 0, 1
3666, 688.780335188, 60, 10.056199122951579, 0, 1
3666, 688.780335188, 55, 9.861682298413983, 0, 1
3666, 688.780335188, 25, 2.8803624677658277, 0, 1
3666, 688.780335188, 23, 2.850856821361056, 0, 1
3666, 688.780335188, 26, 2.7694526176618766, 0, 1
4346, 835.802837133, 46, 3.863813945843063, 0, 1
4346, 835.802837133, 86, 13.91873925968309, 0, 1
4346, 835.802837133, 109, 21.25111474186118, 0, 1
4346, 835.802837133, 111, 21.438058004554016, 0, 1
4346, 835.802837133, 109, 21.019864186788034, 0, 1
6140, 1105.10718608, 208, 39.68721347427901, 0, 1
6140, 1105.10718608, 207, 39.68721347427901, 0, 1
6140, 1105.10718608, 500, 110.55810014396928, 0, 0
6140, 1105.10718608, 247, 55.33920038903417, 0, 1
6140, 1105.10718608, 500, 113.51392080736892, 0, 0
7062, 1276.33853316, 500, 120.77719058032943, 0, 0
7062, 1276.33853316, 500, 121.22936981561165, 0, 0
7062, 1276.33853316, 500, 121.07114946244798, 0, 0
7062, 1276.33853316, 500, 119.7206662300009, 0, 0
7062, 1276.33853316, 500, 120.43161457133402, 0, 0
8611, 1515.22279525, 62, 4.462741326661558, 0, 1
