training steps, time, steps in evaluation, accumulated reward, done, exit condition 
0, 0.0, 30.9, 5.046215579936969, 0.0, 1.0
500, 80.0345518589, 197.0, 34.125151156915585, 0.0, 1.0
1000, 185.182039022, 28.0, 4.60079174750495, 0.0, 1.0
1500, 288.006635904, 17.0, 2.6452098813228133, 0.0, 1.0
2000, 400.128509998, 15.0, 2.23364781534314, 0.0, 1.0
2500, 500.877156973, 15.0, 1.9366102910499023, 0.0, 1.0
3000, 591.452464104, 86.0, 16.58866923108497, 0.0, 1.0
3500, 661.738339186, 112.0, 22.644179227231348, 0.0, 1.0
4000, 734.363790274, 108.0, 21.164117642861562, 0.0, 1.0
4500, 809.007662296, 123.0, 22.348577931711223, 0.0, 1.0
5000, 883.775951385, 121.0, 22.251114741861166, 0.0, 1.0
5500, 956.434698343, 267.0, 50.99348449376723, 0.0, 1.0
6000, 1022.41376519, 320.0, 60.008065491178094, 0.0, 1.0
6500, 1092.6795001, 106.0, 20.533633148553633, 0.0, 1.0
7000, 1156.24901009, 123.0, 23.158025071711975, 0.0, 1.0
7500, 1215.4551301, 750.25, 154.399437817881, 0.0, 0.25
8000, 1272.2823801, 554.0, 112.84890232853101, 0.0, 0.5
8500, 1338.39194798, 121.0, 24.204222782613055, 0.0, 1.0
9000, 1397.778234, 108.0, 20.999756694421826, 0.0, 1.0
9500, 1461.48593688, 117.0, 22.064256378545146, 0.0, 1.0
10000, 1518.44229269, 244.5, 49.76519268379742, 0.0, 1.0
10500, 1577.56573272, 103.0, 20.533633148553655, 0.0, 1.0
11000, 1636.87592268, 107.0, 20.805320409708436, 0.0, 1.0
11500, 1696.22293663, 110.0, 21.119725451104458, 0.0, 1.0
12000, 1755.57004261, 108.0, 21.064789126284715, 0.0, 1.0
12500, 1812.62449074, 107.0, 20.48903655311394, 0.0, 1.0
13000, 1874.20475078, 109.0, 21.33711978135114, 0.0, 1.0
13500, 1938.27128077, 553.5, 117.16557864531451, 0.0, 0.5
14000, 2002.26392365, 110.0, 21.25027524898289, 0.0, 1.0
14500, 2063.92196345, 104.0, 20.328688118141706, 0.0, 1.0
15000, 2125.57780051, 97.0, 21.020396934527586, 0.0, 1.0
15500, 2185.11395741, 105.0, 20.433842620134254, 0.0, 1.0
16000, 2244.58829451, 273.666666667, 59.78209296842535, 0.0, 1.0
16500, 2308.77298045, 101.0, 20.609713617322935, 0.0, 1.0
17000, 2371.24094152, 102.0, 20.96737387550499, 0.0, 1.0
17500, 2429.1325984, 700.333333333, 155.57561344523813, 0.0, 0.333333333333
18000, 2494.14497042, 962.5, 217.20586109010043, 0.0, 0.1
