time_string,time_taken_lec,time_taken_safety_controller,total_time,wcet,mean_reach_time
23/10/2020/08:40:09,0,9.17046,9.17048,0.042455,0.0100188
23/10/2020/09:00:34,0,11.0259,11.0259,0.046528,0.0105969
23/10/2020/09:01:48,1.58866,0.0772,1.66586,0.030773,0.0235232
23/10/2020/09:03:25,0,5.67329,5.6733,0.049433,0.0105202
23/10/2020/09:04:59,0,4.64524,4.64524,0.049017,0.0101369
23/10/2020/09:06:27,0,4.70444,4.70444,0.048454,0.0104661
23/10/2020/09:08:55,0,5.50436,5.50437,0.045826,0.0113834
23/10/2020/09:09:42,0,4.77674,4.77675,0.041626,0.0110717
23/10/2020/09:10:47,0,5.14037,5.14039,0.044315,0.0111291
23/10/2020/09:11:51,0,5.46726,5.46728,0.033979,0.0111407
23/10/2020/09:12:47,0,5.02412,5.02413,0.036761,0.0107971
23/10/2020/09:13:45,0,4.71452,4.71453,0.050342,0.0102228
23/10/2020/09:14:34,0,5.16625,5.16626,0.042451,0.0107607
23/10/2020/09:15:35,0,5.3178,5.31781,0.039132,0.0109289
23/10/2020/09:16:36,0,4.91596,4.91597,0.034031,0.0108183
23/10/2020/09:17:18,0,4.97843,4.97843,0.032828,0.0118244
23/10/2020/09:18:03,0,4.6006,4.60061,0.042553,0.0104354
23/10/2020/09:18:45,0,5.06477,5.06477,0.041954,0.0113551
23/10/2020/09:19:31,0,4.96919,4.9692,0.046996,0.0112302
23/10/2020/09:20:18,0,4.56716,4.56716,0.048045,0.00987243
23/10/2020/09:21:05,0,5.66682,5.66683,0.04416,0.0111044
23/10/2020/09:21:55,0,5.04263,5.04264,0.047754,0.0108281
23/10/2020/09:22:42,0,5.16686,5.16686,0.037215,0.0113418
23/10/2020/09:24:21,0,4.7574,4.75741,0.044931,0.0102932
