time_string,time_taken_lec,time_taken_safety_controller,total_time,wcet,mean_reach_time
24/10/2020/12:06:24,1.03535,14.2223,16.4833,0.043296,0.0195937
24/10/2020/12:07:21,0.643766,2.8337,3.9604,0.037323,0.0201677
24/10/2020/12:09:42,0.147703,14.1915,16.6285,0.040251,0.018832
24/10/2020/12:12:04,0.492918,16.6208,17.2936,0.040532,0.0205043
24/10/2020/12:14:33,0.191532,16.7607,18.0899,0.043543,0.0207435
24/10/2020/12:16:16,0.767655,7.57878,10.4943,0.039594,0.0193486
24/10/2020/12:18:42,0.518277,17.6802,18.1985,0.041421,0.0209656
24/10/2020/12:38:28,0.20625,15.1801,19.5542,0.045632,0.0209458
24/10/2020/12:40:47,0.135249,14.6699,16.241,0.039861,0.0193955
24/10/2020/12:43:10,0.783202,14.517,16.6385,0.04179,0.0192273
24/10/2020/12:44:26,1.58775,4.50773,7.29107,0.040959,0.0205605
24/10/2020/12:46:49,0.241562,15.4336,17.6617,0.040493,0.0209896
24/10/2020/12:48:28,0.911015,8.51442,11.2085,0.038932,0.0210648
24/10/2020/12:50:47,0.578301,14.572,17.072,0.0388,0.0193719
24/10/2020/12:53:05,0.507039,17.0884,17.5954,0.042694,0.0206151
24/10/2020/12:55:31,0.568166,18.1369,19.2383,0.037966,0.0206264
24/10/2020/12:56:24,0.092168,2.61459,3.9023,0.038174,0.0207614
24/10/2020/12:58:40,0.754155,6.37871,7.64219,0.044131,0.00605034
24/10/2020/13:00:55,0.959489,15.1552,16.695,0.042325,0.0199993
24/10/2020/13:03:16,0.112029,14.9827,17.0633,0.039872,0.0203483
24/10/2020/13:05:42,0.781293,16.7054,17.9574,0.041754,0.0208624
24/10/2020/13:08:05,0.844071,14.8009,17.1088,0.0415,0.019845
24/10/2020/13:09:48,0.05359,7.67406,10.9388,0.042197,0.0200219
24/10/2020/13:12:08,0.786077,16.4708,17.2569,0.041682,0.0204459
24/10/2020/13:13:01,0.962972,2.78111,3.74408,0.040529,0.0207146
24/10/2020/13:15:17,0.51319,15.317,17.4269,0.043984,0.0206728
24/10/2020/13:17:30,0.763303,14.9919,16.4561,0.044178,0.0202731
24/10/2020/13:19:54,0.771511,18.1917,18.9632,0.051933,0.0207158
24/10/2020/13:22:19,0.943874,17.6209,19.0167,0.040171,0.0212816
24/10/2020/13:24:36,0.143992,16.7297,17.6723,0.047393,0.0208468
24/10/2020/13:26:55,0.324897,15.9533,17.0953,0.041355,0.0199325
24/10/2020/13:29:23,0.667401,17.9611,18.6285,0.038921,0.0203627
24/10/2020/13:31:48,0.721161,6.23779,7.46798,0.039334,0.00545304
24/10/2020/13:34:11,0.653839,6.0845,7.11826,0.037454,0.0049358
24/10/2020/13:35:48,0.152529,8.46561,9.9072,0.042468,0.0191741
24/10/2020/13:38:12,0.995238,14.0404,17.2373,0.040039,0.0204807
24/10/2020/13:39:59,0.081292,9.74128,11.1542,0.042959,0.0188931
24/10/2020/13:41:44,0.834215,9.17612,11.4904,0.037804,0.0206466
24/10/2020/13:44:06,0.160214,14.9424,17.4553,0.044349,0.0204316
24/10/2020/13:45:47,0.821658,9.44326,10.8764,0.038685,0.0205243
24/10/2020/13:48:11,0.799281,16.6065,17.8773,0.041405,0.0206958
24/10/2020/13:50:28,0.103974,15.7291,17.6361,0.040701,0.0207447
24/10/2020/13:52:56,0.303094,18.5333,19.3638,0.042338,0.0207842
24/10/2020/13:53:50,1.09063,3.00684,4.09749,0.040696,0.0212526
24/10/2020/13:56:07,1.65809,15.5818,17.2399,0.039408,0.0206348
24/10/2020/13:58:25,1.22998,15.2061,17.0533,0.041278,0.0200775
24/10/2020/14:00:40,0.628986,14.8793,16.6889,0.054121,0.0203351
24/10/2020/14:03:04,0.679525,16.2852,17.4869,0.042308,0.0208307
24/10/2020/14:05:27,0.708806,6.07386,7.30818,0.040206,0.00536424
24/10/2020/14:07:49,0.116339,14.9833,16.3566,0.043088,0.0194707
24/10/2020/14:09:39,0.522949,10.5704,12.6766,0.042263,0.0210289
24/10/2020/14:11:27,0.163276,8.77345,11.7058,0.040404,0.0196489
24/10/2020/14:13:13,0.74837,11.3135,12.0619,0.044282,0.0201895
24/10/2020/14:15:32,0.65259,16.7108,17.9063,0.059969,0.0208308
24/10/2020/14:17:44,0.742221,14.5413,16.4564,0.040994,0.0203761
24/10/2020/14:20:01,0.125387,16.5246,17.4843,0.040727,0.0210613
24/10/2020/14:21:23,0.88404,6.21605,7.63748,0.038702,0.0189954
