time_string,time_taken_lec,time_taken_safety_controller,total_time,wcet,mean_reach_time
22/10/2020/12:28:40,1.26664,5.53969,7.55163,0.03824,0.0106071
22/10/2020/12:29:54,1.76696,12.156,15.1745,0.05564,0.0265555
22/10/2020/12:31:09,0.984855,10.7696,16.5076,0.051131,0.0284344
22/10/2020/12:32:24,0.126887,15.7694,17.4037,0.052123,0.0297495
22/10/2020/12:33:15,0.819936,6.93235,8.15225,0.047369,0.0295057
22/10/2020/12:34:33,3.46588,11.5813,16.9602,0.044902,0.0276321
22/10/2020/12:35:47,1.43098,14.813,16.2439,0.039026,0.0293737
22/10/2020/12:37:01,0.443856,13.8665,16.7021,0.052377,0.0288625
22/10/2020/12:38:15,0.724385,10.939,15.5155,0.04867,0.0269675
22/10/2020/12:39:30,1.85112,15.0942,16.9454,0.03907,0.0286156
22/10/2020/12:40:44,0.222875,12.5194,16.3959,0.046539,0.0290745
22/10/2020/12:41:58,0.103004,14.2299,15.6227,0.043828,0.0265547
22/10/2020/12:43:13,3.30963,11.1629,16.3483,0.054385,0.0282319
22/10/2020/12:44:27,0.008312,11.0691,16.3716,0.048071,0.0283692
22/10/2020/12:45:38,1.40784,14.8376,16.7225,0.053008,0.0290041
22/10/2020/12:46:52,0.570527,9.61373,16.4269,0.048364,0.0288228
22/10/2020/12:48:07,1.40156,15.7212,17.1228,0.038997,0.0288058
22/10/2020/12:49:23,1.1042,16.0936,17.6439,0.044098,0.0291454
22/10/2020/12:50:37,1.26862,12.8313,15.2277,0.051736,0.0268127
22/10/2020/12:51:51,0.860666,9.92637,15.1589,0.047217,0.0264417
22/10/2020/12:53:06,1.21256,16.0171,17.2297,0.045879,0.029641
22/10/2020/12:54:20,0.15178,10.6958,15.091,0.052619,0.0260748
22/10/2020/12:55:34,0.128561,12.005,16.4254,0.046477,0.0282062
22/10/2020/12:56:49,0.357429,12.2385,15.5779,0.046113,0.0265648
22/10/2020/12:58:00,0.414193,10.5637,15.7151,0.04762,0.0265099
22/10/2020/12:59:11,0.108772,14.3901,16.0737,0.049922,0.0285003
22/10/2020/13:00:22,0.425692,12.8686,15.8004,0.048091,0.027003
22/10/2020/13:01:33,0.543133,13.7432,16.8509,0.050218,0.0291652
22/10/2020/13:02:45,0.620262,11.3945,16.041,0.047337,0.0274139
22/10/2020/13:04:00,1.24772,10.0138,15.9662,0.049286,0.0285481
22/10/2020/13:05:16,1.61246,15.3127,17.3512,0.046622,0.0295697
22/10/2020/13:06:30,0.183809,11.7624,16.3864,0.045856,0.0286468
22/10/2020/13:07:44,0.16425,12.0107,15.1784,0.050539,0.0264655
22/10/2020/13:08:59,0.673356,16.8432,17.5165,0.049695,0.0299928
22/10/2020/13:10:13,0.347916,10.274,15.9196,0.049172,0.0278523
22/10/2020/13:11:54,0.898828,12.6135,16.9321,0.051913,0.0293003
22/10/2020/13:13:08,0.006556,11.1093,15.8133,0.049407,0.0278331
22/10/2020/13:14:47,0.287932,10.9902,16.2231,0.041853,0.0289088
22/10/2020/13:16:03,1.34545,15.1424,17.2024,0.042767,0.0290154
22/10/2020/13:17:17,0.133737,14.9771,16.4748,0.0462,0.0284144
22/10/2020/13:18:33,0.171854,15.3061,16.8977,0.053,0.0283203
22/10/2020/13:19:49,1.47183,14.7242,17.7955,0.039783,0.0298832
22/10/2020/13:21:09,5.21433,9.78423,17.1166,0.050378,0.0280902
22/10/2020/13:22:23,1.41362,15.2132,16.6268,0.04242,0.0287746
22/10/2020/13:24:01,0.18147,13.6609,15.3529,0.053452,0.0266265
22/10/2020/13:25:16,0.776417,12.7379,16.472,0.053248,0.0289185
22/10/2020/13:26:30,2.79023,9.96742,16.2148,0.055214,0.0277792
22/10/2020/13:27:45,1.40961,7.47175,15.76,0.047131,0.0270538
22/10/2020/13:29:00,0.294828,11.3208,15.7289,0.048716,0.0273047
22/10/2020/13:30:16,0.812925,16.6768,18.0367,0.039677,0.0298579
22/10/2020/13:30:50,1.74317,0.193849,1.93702,0.037741,0.0291911
22/10/2020/13:31:38,0.173257,5.72748,7.04538,0.043687,0.0291424
22/10/2020/13:32:53,0.025681,11.2093,15.2647,0.0513,0.0260118
22/10/2020/13:34:07,0.175258,12.4956,16.1171,0.047111,0.0278591
22/10/2020/13:35:24,1.39718,15.2927,17.8419,0.048659,0.0299399
22/10/2020/13:36:39,0.065007,11.1492,14.6692,0.073432,0.0249859
22/10/2020/13:37:53,0.775022,12.2801,16.4807,0.051908,0.0291659
22/10/2020/13:39:06,0.475158,11.5072,15.5406,0.046213,0.0267654
22/10/2020/13:40:18,0.406899,13.8258,16.3919,0.044079,0.0278741
22/10/2020/13:41:29,0.945725,11.6651,16.3049,0.048679,0.028176
22/10/2020/13:43:06,0.5695,11.8013,15.3924,0.055914,0.0265932
22/10/2020/13:44:18,0.558106,11.8771,16.646,0.05284,0.0286408
22/10/2020/13:45:29,0.703737,9.72799,15.1834,0.049163,0.0266181
22/10/2020/13:46:35,0.227595,10.746,13.2464,0.048734,0.0279623
