time_string,time_taken_lec,time_taken_safety_controller,total_time,wcet,mean_reach_time
23/10/2020/09:44:55,0,5.50085,5.50086,0.041308,0.00913657
23/10/2020/09:46:45,0,8.96911,8.96912,0.048868,0.0107243
23/10/2020/09:48:02,0,6.03836,6.03837,0.046813,0.0123678
23/10/2020/09:49:19,0,6.07549,6.07551,0.051817,0.0100909
23/10/2020/09:50:03,0,6.30973,6.30973,0.044122,0.0103308
23/10/2020/09:51:22,0,11.78,11.78,0.043176,0.00982582
23/10/2020/09:51:47,0,2.22163,2.22164,0.030044,0.00674959
23/10/2020/09:52:40,0.784637,4.61413,5.39878,0.048421,0.0117205
23/10/2020/09:54:06,0.609887,1.56009,2.16998,0.033668,0.00925491
23/10/2020/09:57:09,0.741566,4.68391,5.4255,0.03695,0.0117083
23/10/2020/09:58:08,0,2.13768,2.13769,0.040894,0.00671882
23/10/2020/09:59:46,0,7.94186,7.94188,0.03449,0.00997581
23/10/2020/10:01:01,0,2.13915,2.13916,0.040133,0.00844872
23/10/2020/10:02:07,0,6.36173,6.36185,0.034773,0.00998814
23/10/2020/10:02:51,0,2.23738,2.23739,0.032173,0.00970771
23/10/2020/10:04:22,0,7.68077,7.68078,0.040185,0.00895037
23/10/2020/10:05:38,0,5.64895,5.64896,0.047491,0.00952915
23/10/2020/10:07:39,0,1.82909,1.82911,0.030515,0.00749871
23/10/2020/10:08:44,0.498035,2.17121,2.66925,0.047698,0.0138306
23/10/2020/10:09:50,0,6.06891,6.06895,0.04377,0.0100039
23/10/2020/10:14:37,0,1.95278,1.95279,0.036189,0.0118558
23/10/2020/10:15:26,1.25564,0,1.25564,0.03359,0.0232653
23/10/2020/10:18:21,0,5.74036,5.74037,0.032942,0.0127526
23/10/2020/10:19:29,0,5.37143,5.37144,0.036107,0.0111818
23/10/2020/10:20:55,0,2.08287,2.08287,0.040795,0.0105027
23/10/2020/10:22:31,0,2.14323,2.14329,0.033368,0.00950716
23/10/2020/10:23:41,0,5.43552,5.43554,0.050216,0.00967069
23/10/2020/10:26:23,0,5.92508,5.9251,0.047857,0.00939618
23/10/2020/10:27:15,0,10.0553,10.0553,0.044724,0.0145524
23/10/2020/10:28:04,0,1.94587,1.94588,0.038662,0.00923802
23/10/2020/10:31:29,0,5.26334,5.26334,0.044914,0.0105063
23/10/2020/10:33:17,0,9.37074,9.37076,0.041565,0.0102118
23/10/2020/10:34:49,0,4.83661,4.83661,0.048046,0.0110004
