09/03/2022/16:59:56,-nan,-nan,0
09/03/2022/18:58:24,0.808664,0.191336,11.5822
09/03/2022/18:59:58,0.795594,0.204406,10.9428
09/03/2022/19:01:33,0.372093,0.627907,10.9739
09/03/2022/19:03:07,0.747909,0.252091,10.8373
09/03/2022/19:04:41,0.786241,0.213759,10.937
09/03/2022/19:06:17,0.774752,0.225248,10.5731
09/03/2022/19:07:51,0.754762,0.245238,11.1188
09/03/2022/19:09:25,0.700353,0.299647,12.006
09/03/2022/19:10:59,0.356877,0.643123,11.3377
09/03/2022/19:12:33,0.813038,0.186962,11.8404
10/03/2022/09:04:15,0.684211,0.315789,10.9885
10/03/2022/09:05:53,0.762689,0.237311,10.5993
10/03/2022/09:07:30,0.707351,0.292649,10.656
10/03/2022/09:09:07,0.750343,0.249657,10.5941
10/03/2022/09:10:44,0.636977,0.363023,10.5714
10/03/2022/09:12:20,0.780455,0.219545,10.9475
10/03/2022/09:13:56,0.793149,0.206851,11.2032
10/03/2022/09:15:34,0.744884,0.255116,10.2561
10/03/2022/09:17:11,0.780764,0.219236,9.63559
10/03/2022/09:18:49,0.751374,0.248626,10.5235
10/03/2022/09:20:26,0.803256,0.196744,10.1556
10/03/2022/09:22:03,0.764384,0.235616,10.5251
10/03/2022/09:23:41,0.764045,0.235955,10.6252
10/03/2022/09:25:18,0.725275,0.274725,10.4429
10/03/2022/09:26:55,0.760695,0.239305,10.4956
10/03/2022/09:28:32,0.799729,0.200271,10.3139
10/03/2022/09:30:08,0.724092,0.275908,10.5433
10/03/2022/09:31:46,0.741307,0.258693,10.0716
10/03/2022/09:33:23,0.722607,0.277393,10.4053
10/03/2022/09:35:00,0.807263,0.192737,10.5786
10/03/2022/09:36:37,0.705563,0.294437,11.0502
10/03/2022/09:38:13,0.762551,0.237449,11.0308
10/03/2022/09:39:50,0.775,0.225,10.6336
10/03/2022/09:41:27,0.741667,0.258333,10.614
10/03/2022/09:43:05,0.731259,0.268741,10.1633
10/03/2022/09:44:43,0.76681,0.23319,9.6046
10/03/2022/09:46:20,0.741935,0.258065,10.4733
10/03/2022/09:47:56,0.792402,0.207598,11.0217
10/03/2022/09:49:33,0.817935,0.182065,10.0838
10/03/2022/09:51:10,0.785714,0.214286,10.7537
11/03/2022/08:33:43,0.949153,0.0508475,12.825
